libelle_organisation_niveau_07,employees,avg_sustainable_value_potential,avg_reliability_adjusted_potential,avg_absenteeism_risk,avg_learning_intensity,avg_kpi_reliability,high_absence_risk_share
Data Protection,1,0.48724410471483964,0.3654330785361297,0.2474381625441696,0.3899073327961321,0.5,0.0
DIGITAL DATA AND DISSEMINATION,1,0.3925009920536503,0.0,0.0,0.0,0.0,0.0
DM PRICING,1,0.5233577243012805,0.26167886215064023,0.0,0.2842465753424658,0.3333333333333333,0.0
BUSINESS IMPLEMENTATION & COMMERCIAL SUPPORT,1,0.3925009920536503,0.0,0.0,0.0,0.0,0.0
COMPLIANCE,1,0.49319920743113893,0.49319920743113893,0.2373233215547703,0.4073327961321515,0.6666666666666666,0.0
ACCOUNTING & REPORTING SERVICES,1,0.3925009920536503,0.0,0.0,0.0,0.0,0.0
BUSINESS IMPLEMENTATION & COMMERCIAL SUPPORT/INVOICING,1,0.4555889461645489,0.11389723654113723,0.0,0.0,0.16666666666666666,0.0
Communications,1,0.4275009920536502,0.10687524801341255,0.0,0.0,0.16666666666666666,0.0
Coverage,1,0.7029662487280229,0.35148312436401147,0.0,0.9228444802578566,0.3333333333333333,0.0
Client Management,1,0.4034831829013411,0.4034831829013411,0.848939929328622,0.6480660757453667,0.6666666666666666,1.0
Client Success,1,0.522982165691295,0.3922366242684712,0.530256183745583,0.9135777598710716,0.5,0.0
Information Technology,1,0.4666120038074375,0.4666120038074375,0.2312279151943463,0.2088033843674456,0.6666666666666666,0.0
Inf System Secur & Resilience,1,0.5140980089557403,0.38557350671680524,0.3965547703180212,0.5497582594681708,0.5,0.0
"IT Fund Services, 3D & Bus Dev",1,0.5549328258062599,0.41619961935469496,0.231934628975265,0.6036462530217567,0.5,0.0
GENERAL SECRETARY OPERATIONS MANAGEMENT,1,0.5472069570208007,0.27360347851040034,0.0,0.4199234488315874,0.3333333333333333,0.0
Group Business Support & Project,1,0.5536515026492173,0.41523862698691294,0.3733657243816254,0.7611804995970991,0.5,0.0
GENERAL SECRETARY,1,0.49058894616454896,0.12264723654113724,0.0,0.0,0.16666666666666666,0.0
LIQUIDITY MANAGEMENT,1,0.48853572136189305,0.48853572136189305,0.1206272084805653,0.1864423851732474,0.6666666666666666,0.0
NETWORK,1,0.47844461753260026,0.47844461753260026,0.2615724381625441,0.3387389202256245,0.6666666666666666,0.0
POLE PILOTAGE FINANCIER,1,0.512724198400111,0.2563620992000555,0.0,0.1864423851732474,0.3333333333333333,0.0
PERES,1,0.5063437194090443,0.37975778955678324,0.458613074204947,0.7762892828364223,0.5,0.0
OPERATIONAL RISKS AND PERMANENT CONTROLS,1,0.3925009920536503,0.0,0.0,0.0,0.0,0.0
Projects & Communications,1,0.3752136380813927,0.28141022856104453,0.8962014134275618,0.2330781627719581,0.5,1.0
QUALITY MONITORING & REPORTS,1,0.3925009920536503,0.0,0.0,0.0,0.0,0.0
SEC FINANCING,1,0.3925009920536503,0.0,0.0,0.0,0.0,0.0
SUPPORT,1,0.3925009920536503,0.0,0.0,0.0,0.0,0.0
,1,0.3925009920536503,0.09812524801341257,0.0,0.0,0.16666666666666666,0.0
